Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
US,2022-05-26 10:20:29,40.0,-100.0,83718202,1003783,,,25410.24873249321,,,1.199002099925653,840,USA,2505827,10640
Uganda,2022-05-26 10:20:29,1.373333,32.290275,164331,3600,,,359.26411753131765,,,2.1907004764773537,800,UGA,262,3
Ukraine,2022-03-01 23:21:04,48.3794,31.1656,5040518,112459,,,11525.462515124758,,,2.231100057573448,804,UKR,0,0
United Arab Emirates,2022-05-26 10:20:29,23.424076,53.847818,905841,2302,,,9158.790342149963,,,0.2541284839171554,784,ARE,8071,0
United Kingdom,2022-05-26 10:20:29,55.0,-3.0,22462129,178973,,,33088.01177927633,,,0.7967766546082965,826,GBR,275471,3891
Uruguay,2022-05-26 10:20:29,-32.5228,-55.7658,916388,7227,,,26380.541706357464,,,0.7886397464829308,858,URY,20613,30
Uzbekistan,2022-05-26 10:20:29,41.377491,64.585262,238975,1637,,,714.0146975133764,,,0.6850088921435297,860,UZB,429,0
Vanuatu,2022-05-26 10:20:29,-15.3767,166.9592,8807,14,,,3009.088424217576,,,0.1589644600885659,548,VUT,1753,1
Venezuela,2022-05-26 10:20:29,6.4238,-66.5897,523444,5718,,,1840.7829837048128,,,1.0923804647679598,862,VEN,1148,11
Vietnam,2022-05-26 10:20:29,14.058324,108.277199,10712733,43078,,,11005.63894586384,,,0.4021196085069982,704,VNM,81217,44
West Bank and Gaza,2022-05-26 10:20:29,31.9522,35.2332,657573,5660,,,12890.00936210652,,,0.8607409367477071,275,PSE,513,3
Winter Olympics 2022,2022-05-26 10:20:29,39.9042,116.4074,535,0,,,,,,0.0,2022,,0,0
Yemen,2022-05-26 10:20:29,15.552727,48.516388,11819,2149,,,39.62654288370456,,,18.18258735933666,887,YEM,1,0
Zambia,2022-05-26 10:20:29,-13.133897,27.849332,321342,3985,,,1747.9480477433692,,,1.240111781217519,894,ZMB,1911,9
Zimbabwe,2022-05-26 10:20:29,-19.015438,29.154857,251228,5496,,,1690.2996294067784,,,2.1876542423615204,716,ZWE,3499,27
